Training/Test,X,Y,Y_pred
Training,-0.2480593830277195,1,1.0
Training,-0.5874456570578086,0,0.0
Training,0.2847934626716959,1,1.0
Training,4.903397974472474,1,1.0
Training,-0.26445485520308626,0,0.0
Training,6.61016662792814,1,1.0
Training,-0.17919839989117956,0,0.0
Training,1.650536294879736,1,1.0
Training,-0.002127300397220116,0,0.0
Training,1.0914506936997335,0,0.0
Training,0.289712104324306,1,1.0
Training,-0.23494300528742607,1,1.0
Training,-0.4743168990477788,1,1.0
Training,-0.8825641562144079,1,1.0
Training,1.8636774331595019,1,1.0
Training,-0.2808503273784526,0,0.0
Training,-0.031639150312879935,1,1.0
Training,-0.36774632990789585,0,0.0
Training,-0.7054930567204483,0,0.0
Training,-0.9235528366528243,1,1.0
Training,-0.303803988423966,0,0.0
Training,-0.0004877531796831973,1,1.0
Training,0.009349530125536569,1,1.0
Training,-0.14804700275798283,0,0.0
Training,-0.5644919960122954,0,0.0
Training,-0.6858184901100083,1,1.0
Training,-0.021801867007659997,1,1.0
Training,-0.04147643361809988,1,1.0
Training,-0.692376678980155,0,0.0
Training,-0.7481212843764016,1,1.0
Training,-0.9071573644774578,1,1.0
Training,-0.9169946477826777,0,0.0
Training,-0.6153179597559318,1,1.0
Training,2.117807251877685,1,1.0
Training,-0.1103374167546398,1,1.0
Training,-0.043115980835636794,1,1.0
Training,-0.5317010516615621,1,1.0
Training,0.21593247953515618,1,1.0
Training,-1.0301234057927076,0,0.0
Training,0.20937429066500957,1,1.0
Training,-0.6038411292331751,1,1.0
Training,-0.4939914656582189,1,1.0
Training,0.06837322995685638,0,0.0
Training,-0.36118814103774904,0,0.0
Training,-0.09886058623188294,1,1.0
Training,-0.40217682147616574,1,1.0
Training,-0.7284467177659616,1,1.0
Training,-0.9317505727405077,0,0.0
Training,-0.19067523041393641,0,0.0
Training,0.483178675993632,1,1.0
Training,-0.23166391085235274,1,1.0
Training,-0.34315312164484596,1,1.0
Training,-0.30216444120642927,1,1.0
Training,-0.8743664201267245,1,1.0
Training,-0.15624473884566636,0,0.0
Training,-0.7399235482887182,1,1.0
Training,-0.49891010731082874,0,0.0
Training,-0.20871024980683955,0,0.0
Training,5.554298219834529,0,0.0
Training,-0.22182662754713264,1,1.0
Training,0.5504001119126348,1,1.0
Training,0.8373208749815509,0,0.0
Training,-0.17919839989117956,1,1.0
Training,0.2929911987593791,1,1.0
Training,-1.0235652169225609,1,1.0
Training,0.1306760242232497,0,0.0
Training,0.058535946651636445,1,1.0
Training,-0.6907371317626183,1,1.0
Training,-0.6267947902786885,1,1.0
Training,1.1127648075277103,1,1.0
Training,0.35365444580823535,1,1.0
Training,-0.026720508660270054,0,0.0
Training,-0.556294259924612,0,0.0
Training,-0.46611916296009565,0,0.0
Training,0.4159572400746288,1,1.0
Training,-0.2988853467713559,1,1.0
Training,-0.09558149179680982,1,1.0
Training,-0.13165153058261644,0,0.0
Training,0.28151436823662246,1,1.0
Training,0.03558228560612325,0,0.0
Training,-0.49891010731082874,1,1.0
Training,-0.4382468602619722,0,0.0
Training,-0.2726525912907694,0,0.0
Training,-0.8563314007338212,1,1.0
Training,-0.6415507152365185,1,1.0
Training,-0.2037916081542295,0,0.0
Training,-0.8120636258603313,1,1.0
Training,0.0027913412553899415,1,1.0
Training,0.5815515090458317,0,0.0
Training,-0.5300615044440253,1,1.0
Training,-0.3201994605993324,0,0.0
Training,-0.6464693568891284,1,1.0
Training,-0.7366444538536449,1,1.0
Training,-0.06934873631622313,0,0.0
Training,0.5553187535652453,1,1.0
Training,0.1831415351844227,1,1.0
Training,-0.6415507152365185,0,0.0
Training,-0.6858184901100083,1,1.0
Training,0.6045051700913452,1,1.0
Training,-0.7054930567204483,0,0.0
Training,-0.8710873256916514,1,1.0
Training,0.00607043569046308,1,1.0
Training,-0.49071237122314554,0,0.0
Training,-0.46447961574255886,0,0.0
Training,-0.8120636258603313,1,1.0
Training,-0.5776083737525887,1,1.0
Training,0.5241673564320487,0,0.0
Training,0.5192487147794387,0,0.0
Training,-0.46611916296009565,0,0.0
Training,-0.29232715790120933,0,0.0
Training,-0.7530399260290115,0,0.0
Training,-0.6103993181033217,1,1.0
Training,-0.3661067826903591,0,0.0
Training,-0.3300367439045525,1,1.0
Training,0.7914135528905245,1,1.0
Training,-0.3923395381709458,1,1.0
Training,-0.18247749432625288,1,1.0
Training,-0.21362889145944944,1,1.0
Training,-0.8186218147304779,1,1.0
Training,-0.667783470717105,1,1.0
Training,-0.5382592405317087,1,1.0
Training,-0.4234909353041424,1,1.0
Training,-0.7251676233308882,1,1.0
Training,-0.7743540398569881,1,1.0
Training,-0.7973077009025015,0,0.0
Training,-0.2398616469400363,0,0.0
Training,-0.05787190579346662,1,1.0
Training,-0.9481460449158743,1,1.0
Training,-0.2546175718978661,0,0.0
Training,0.31922395423996563,1,1.0
Training,-0.3333158383396258,1,1.0
Training,0.34545670972055215,1,1.0
Training,0.38644539015896884,1,1.0
Training,-0.7776331342920615,1,1.0
Training,-0.4792355407003889,0,0.0
Training,-0.39561863260601915,0,0.0
Training,-0.5005496545283655,0,0.0
Training,-0.5808874681876619,1,1.0
Training,1.3341036818951597,0,0.0
Training,-0.6628648290644952,1,1.0
Training,0.8520767999393811,1,1.0
Training,0.8028903834132812,1,1.0
Training,-0.23658255250496282,0,0.0
Training,0.2569211599735725,0,0.0
Training,1.9948412105624351,1,1.0
Training,-0.3218390078168693,0,0.0
Training,-0.6087597708857851,1,1.0
Training,1.6767690503603225,1,1.0
Training,-0.5448174294018553,0,0.0
Training,1.5292098007820227,0,0.0
Training,0.7766576279326947,0,0.0
Training,0.13395511865832282,0,0.0
Training,-0.1218142472773965,0,0.0
Training,-0.19395432484900957,0,0.0
Training,-0.2824898745959894,1,1.0
Training,-0.4890728240056088,1,1.0
Training,0.25036297110342587,0,0.0
Training,-0.32347855503440587,1,1.0
Training,0.2388861405806692,1,1.0
Training,-0.7612376621166947,1,1.0
Training,-0.22674526919974286,1,1.0
Training,0.8668327248972109,0,0.0
Training,-0.25625711911540267,0,0.0
Training,-0.4562818796548755,1,1.0
Training,-1.4121379074787497,1,1.0
Training,-0.7546794732465482,0,0.0
Training,0.2798748210190859,1,1.0
Training,-0.3005248939888927,0,0.0
Training,0.4159572400746288,1,1.0
Training,-0.4218513880866056,1,1.0
Training,-0.15788428606320293,1,1.0
Training,-0.4497236907847289,1,1.0
Training,-0.22346617476466957,1,1.0
Training,5.532984106006553,1,1.0
Training,-0.823540456383088,1,1.0
Training,0.7569830613222548,1,1.0
Training,-0.6267947902786885,0,0.0
Training,-0.5398987877492455,0,0.0
Training,-0.9678206115263142,1,1.0
Training,-0.010325036484903313,0,0.0
Training,-0.25789666633293945,1,1.0
Training,0.3979222206817255,0,0.0
Training,2.083376760309415,0,0.0
Training,-0.39069999095340907,1,1.0
Training,-0.3923395381709458,1,1.0
Training,4.539418492179335,1,1.0
Training,-0.40217682147616574,0,0.0
Training,0.18969972405456934,1,1.0
Training,-0.5235033155738787,1,1.0
Training,-0.7841913231622081,1,1.0
Training,-0.22674526919974286,0,0.0
Training,0.4864577704287055,1,1.0
Training,8.205446070591313,1,1.0
Training,-0.4759564462653156,1,1.0
Training,1.0586597493490004,1,1.0
Training,-0.3661067826903591,1,1.0
Training,-0.5743292793175153,1,1.0
Training,0.38644539015896884,1,1.0
Training,-0.8481336646461379,0,0.0
Training,-1.100623936146784,0,0.0
Training,-0.13984926667029962,1,1.0
Training,-0.4382468602619722,1,1.0
Training,0.24052568779820613,1,1.0
Training,-0.5743292793175153,0,0.0
Training,-0.5136660322686587,1,1.0
Training,-0.6267947902786885,1,1.0
Training,0.8799491026375045,0,0.0
Training,-0.3529904049500659,1,1.0
Training,0.4389109011201422,1,1.0
Training,-0.8464941174286014,1,1.0
Training,-0.33823447999223605,1,1.0
Training,-0.6284343374962251,1,1.0
Training,0.43727135390260563,1,1.0
Training,-0.7546794732465482,1,1.0
Training,0.34545670972055215,1,1.0
Training,-0.04147643361809988,1,1.0
Training,0.289712104324306,0,0.0
Training,-0.8448545702110645,1,1.0
Training,-0.46611916296009565,1,1.0
Training,-0.5841665626227355,1,1.0
Training,-0.6546670929768118,1,1.0
Training,-0.09066285014419975,1,1.0
Training,0.7389480419293512,0,0.0
Training,-0.5251428627914154,1,1.0
Training,-0.4431655019145821,1,1.0
Training,-0.8120636258603313,1,1.0
Training,-0.2808503273784526,1,1.0
Training,-0.7432026427237914,0,0.0
Training,0.18150198796688613,1,1.0
Training,-0.1447679083229097,1,1.0
Training,-0.7841913231622081,1,1.0
Training,-0.5858061098402718,1,1.0
Training,0.05033821056395307,0,0.0
Training,-0.11689560562478661,1,1.0
Training,-0.2037916081542295,0,0.0
Training,0.025745002300903135,1,1.0
Training,0.14707149639861608,1,1.0
Training,-0.4234909353041424,1,1.0
Training,0.23560704614559608,0,0.0
Training,-0.5300615044440253,1,1.0
Training,-0.19395432484900957,1,1.0
Training,-0.11525605840724969,1,1.0
Training,1.8390842248964518,0,0.0
Training,2.088295401962025,1,1.0
Training,0.042140474476269875,1,1.0
Training,-0.6612252818469584,1,1.0
Training,-0.3169203661642592,0,0.0
Training,-0.34479266886238236,1,1.0
Training,0.21593247953515618,0,0.0
Training,0.6487729449648346,1,1.0
Training,-0.162802927715813,0,0.0
Training,-0.3923395381709458,1,1.0
Training,-0.5677710904473687,1,1.0
Training,-1.0235652169225609,1,1.0
Training,-0.23002436363481618,0,0.0
Training,3.77047084715464,1,1.0
Training,-0.1103374167546398,0,0.0
Training,-0.02344141422519674,1,1.0
Training,0.3848058429414323,1,1.0
Training,2.267006048673521,0,0.0
Training,1.2455681321481802,1,1.0
Training,0.1651065157915194,1,1.0
Training,-0.5612129015772219,1,1.0
Training,-0.42840957695675225,1,1.0
Training,-0.20051251371915618,0,0.0
Training,1.6177453505290025,1,1.0
Training,0.36841037076606553,0,0.0
Training,-0.4218513880866056,1,1.0
Training,-0.44808414356719234,0,0.0
Training,0.21593247953515618,1,1.0
Training,-0.4497236907847289,1,1.0
Training,-0.657946187411885,1,1.0
Training,-0.38906044373587234,0,0.0
Training,0.9094609525531642,1,1.0
Training,-0.7038535095029116,0,0.0
Training,-0.7973077009025015,0,0.0
Training,-0.38086270764818914,1,1.0
Training,0.10936191039527289,1,1.0
Training,-0.2185475331120595,1,1.0
Training,-0.5743292793175153,1,1.0
Training,0.02246590786582982,0,0.0
Training,0.5192487147794387,0,0.0
Training,0.06673368273931982,0,0.0
Training,0.07493141882700301,1,1.0
Training,-0.5398987877492455,1,1.0
Training,0.4749809399059488,1,1.0
Training,0.5028532426040715,1,1.0
Training,0.9389728024688242,0,0.0
Training,-0.8464941174286014,1,1.0
Training,-0.17427975823856967,1,1.0
Training,0.048698663346416676,1,1.0
Training,0.2323279517105226,1,1.0
Training,-0.7858308703797448,0,0.0
Training,-0.712051245590595,1,1.0
Training,-0.34971131051499255,1,1.0
Training,1.522651611911876,1,1.0
Training,0.4880973176462421,1,1.0
Training,-0.3529904049500659,1,1.0
Training,-0.4972705600932922,1,1.0
Training,0.4159572400746288,1,1.0
Training,2.009597135520265,1,1.0
Training,0.0011517940378531972,1,1.0
Training,-0.4743168990477788,0,0.0
Training,-0.3415135744273092,1,1.0
Training,-0.17100066380349638,0,0.0
Training,-0.7464817371588648,1,1.0
Training,-0.8989596283897744,1,1.0
Training,-0.905517817259921,1,1.0
Training,0.24544432945081585,0,0.0
Training,-0.34315312164484596,1,1.0
Training,-0.41037455756384894,1,1.0
Training,0.05033821056395307,1,1.0
Training,-0.7284467177659616,1,1.0
Training,0.31922395423996563,0,0.0
Training,-0.4333282186093623,1,1.0
Training,-0.1070583223195665,0,0.0
Training,-0.3480717632974558,1,1.0
Training,-0.6300738847137618,1,1.0
Training,-0.512026485051122,1,1.0
Training,-0.1070583223195665,1,1.0
Training,-0.6038411292331751,1,1.0
Training,-0.18903568319639952,1,1.0
Training,-0.6464693568891284,1,1.0
Training,-0.5907247514928818,0,0.0
Training,0.009349530125536569,0,0.0
Training,-0.6890975845450816,0,0.0
Training,-0.44808414356719234,1,1.0
Training,2.263726954238447,0,0.0
Training,0.8979841220304078,0,0.0
Training,-0.9022387228248478,1,1.0
Training,-0.39561863260601915,1,1.0
Training,-0.20215206093669294,1,1.0
Training,0.19625791292471595,1,1.0
Training,-0.22018708032959625,0,0.0
Training,-0.25625711911540267,1,1.0
Training,0.18642062961949618,1,1.0
Training,-0.45136323800226563,1,1.0
Training,0.08476870213222312,1,1.0
Training,-0.8005867953375746,1,1.0
Training,0.09132689100236975,0,0.0
Training,-0.5185846739212688,0,0.0
Training,-0.3136412717291861,1,1.0
Training,0.30938667093474587,0,0.0
Training,-0.2513384774627928,1,1.0
Training,0.4848182232111686,1,1.0
Training,-0.17264021102103277,1,1.0
Training,-0.4234909353041424,1,1.0
Training,-0.3152808189467225,1,1.0
Training,0.342177615285479,0,0.0
Training,-0.4546423324373389,0,0.0
Training,-0.5661315432298317,0,0.0
Training,-0.8268195508181613,1,1.0
Training,-0.415293199216459,0,0.0
Training,-0.44808414356719234,1,1.0
Training,3.4360032147771613,0,0.0
Training,-0.444805049132119,1,1.0
Training,-0.23002436363481618,0,0.0
Training,0.056896399434099874,1,1.0
Training,-0.07426737796883301,0,0.0
Training,1.0193106161281202,1,1.0
Training,-0.33167629112208924,0,0.0
Training,0.4438295427727519,0,0.0
Training,-0.5398987877492455,1,1.0
Training,-0.23494300528742607,1,1.0
Training,0.2749561793664758,1,1.0
Training,2.263726954238447,1,1.0
Training,0.7930531001080611,0,0.0
Training,0.5208882619969752,1,1.0
Training,2.117807251877685,1,1.0
Training,0.4602250149481186,1,1.0
Training,-0.20707070258930282,1,1.0
Training,-0.46447961574255886,1,1.0
Training,0.2979098404119892,0,0.0
Training,-0.6300738847137618,0,0.0
Training,0.2323279517105226,1,1.0
Training,5.885486757776935,1,1.0
Training,0.15199013805122613,1,1.0
Training,-1.1219380499747607,1,1.0
Training,3.4589568758226745,0,0.0
Training,0.2323279517105226,1,1.0
Training,-0.4579214268724123,1,1.0
Training,-0.011964583702440057,1,1.0
Training,-0.5284219572264888,1,1.0
Training,-0.9268319310878979,0,0.0
Training,-0.36774632990789585,0,0.0
Training,-0.6005620347981018,1,1.0
Training,-0.39069999095340907,0,0.0
Training,0.19953700735978944,1,1.0
Training,0.30118893484706233,0,0.0
Training,-0.30544353564150256,1,1.0
Training,0.089687343784833,1,1.0
Training,-0.8055054369901847,1,1.0
Training,-0.49891010731082874,1,1.0
Training,0.4913764120813152,1,1.0
Training,-0.20215206093669294,0,0.0
Training,1.1504743935310537,1,1.0
Training,-0.682539395674935,0,0.0
Training,0.6405752088771514,1,1.0
Training,0.04050092725873313,1,1.0
Training,0.31430531258735595,1,1.0
Training,0.788134458455451,0,0.0
Training,0.10608281596019975,0,0.0
Training,-0.9629019698737042,1,1.0
Training,-0.8284590980356981,1,1.0
Training,-0.7284467177659616,0,0.0
Training,-0.3661067826903591,1,1.0
Training,-0.21034979702437612,1,1.0
Training,1.4587092704279463,1,1.0
Training,-0.14804700275798283,1,1.0
Training,-0.20215206093669294,1,1.0
Training,-0.2710130440732325,0,0.0
Training,0.7750180807151581,0,0.0
Training,-0.05787190579346662,1,1.0
Training,-0.4939914656582189,1,1.0
Training,-0.6743416595872517,0,0.0
Training,-0.5038287489634388,1,1.0
Training,-0.36938587712543225,0,0.0
Training,-0.6022015820156386,1,1.0
Training,-0.25789666633293945,0,0.0
Training,-0.10869786953710306,1,1.0
Training,0.0339427383885865,0,0.0
Training,-0.48251463513546217,0,0.0
Training,-0.4972705600932922,0,0.0
Training,-0.5694106376649053,1,1.0
Training,-0.8464941174286014,1,1.0
Training,-0.6546670929768118,1,1.0
Training,-0.049674169705783075,1,1.0
Training,-0.4234909353041424,1,1.0
Training,-0.7612376621166947,1,1.0
Training,-0.5071078433985121,1,1.0
Training,0.39956176789926207,0,0.0
Training,-0.7464817371588648,0,0.0
Training,-0.5759688265350519,1,1.0
Training,0.7258316641890583,0,0.0
Training,0.22740931005791287,1,1.0
Training,0.9471705385565077,1,1.0
