Postal Code,Commune Name,Longitude Commune,Latitude Commune,Province,Region
1800,Peutie / Vilvoorde,4.4440516757419,50.927655474999995,Flemish Brabant,Flanders
1820,Melsbroek / Perk / Steenokkerzeel,4.4943328,50.91986119999999,Flemish Brabant,Flanders
1830,Machelen,4.4353614,50.9124219,Flemish Brabant,Flanders
1831,Diegem,4.4365042,50.8945555,Flemish Brabant,Flanders
1840,Londerzeel / Malderen / Steenhuffel,4.2684406805446,51.00884286666667,Flemish Brabant,Flanders
1850,Grimbergen,4.4013732626459,50.95030565,Flemish Brabant,Flanders
1851,Humbeek,4.3777599282045,50.9728229,Flemish Brabant,Flanders
1852,Beigem,4.3638682,50.9527061,Flemish Brabant,Flanders
1853,Strombeek-Bever,4.342355501959,50.91096285,Flemish Brabant,Flanders
1860,Meise,4.3287322,50.9341625,Flemish Brabant,Flanders
1861,Wolvertem,4.3085198,50.9510266,Flemish Brabant,Flanders
1880,Kapelle-Op-Den-Bos / Nieuwenrode / Ramsdonk,4.349566066926733,51.001556666666666,Flemish Brabant,Flanders
1910,Berg / Buken / Kampenhout / Nederokkerzeel,4.72630197184235,50.9938421625,Flemish Brabant,Flanders
1930,Nossegem / Zaventem,4.4913270474732,50.882716425,Flemish Brabant,Flanders
1932,Sint-Stevens-Woluwe,4.4359939711919,50.8662434,Flemish Brabant,Flanders
1933,Sterrebeek,4.5157438438279,50.85395875,Flemish Brabant,Flanders
1950,Kraainem,4.4691371,50.8606105,Flemish Brabant,Flanders
1970,Wezembeek-Oppem,4.4871796,50.8440554,Flemish Brabant,Flanders
1980,Eppegem / Zemst,4.4498904197249995,50.973965899999996,Flemish Brabant,Flanders
1981,Hofstade,4.5042526607237,50.9939033,Flemish Brabant,Flanders
1982,Elewijt / Weerde,4.49371644592705,50.970908324999996,Flemish Brabant,Flanders
2000,Antwerpen,4.3997081,51.2211097,Antwerp,Flanders
2018,Antwerpen,4.3997081,51.2211097,Antwerp,Flanders
2020,Antwerpen,4.3997081,51.2211097,Antwerp,Flanders
2030,Antwerpen,4.3997081,51.2211097,Antwerp,Flanders
2040,Antwerpen / Berendrecht / Lillo / Zandvliet,4.323186869612175,51.3077631125,Antwerp,Flanders
2050,Antwerpen,4.3997081,51.2211097,Antwerp,Flanders
2060,Antwerpen,4.3997081,51.2211097,Antwerp,Flanders
2070,Burcht / Zwijndrecht,4.3302527641093995,51.216712725,Antwerp,Flanders
2100,Deurne,4.4695254092764,51.2115284,Antwerp,Flanders
2110,Wijnegem,4.5225318,51.2270761,Antwerp,Flanders
2140,Borgerhout,4.4403895064496,51.21029905,Antwerp,Flanders
2150,Borsbeek,4.488953,51.1928907,Antwerp,Flanders
2160,Wommelgem,4.5238022,51.2031044,Antwerp,Flanders
2170,Merksem,4.4453401635115,51.24994295,Antwerp,Flanders
2180,Ekeren,4.4322870782182,51.2842045,Antwerp,Flanders
2200,Herentals / Morkhoven / Noorderwijk,4.831850803283333,51.14914923333333,Antwerp,Flanders
2220,Hallaar / Heist-Op-Den-Berg,4.71924431265885,51.0750357,Antwerp,Flanders
2221,Booischot,4.7692867998141,51.0471677,Antwerp,Flanders
2222,Itegem / Wiekevorst,4.75862512162715,51.1050622,Antwerp,Flanders
2223,Schriek,4.4361161,51.2907379,Antwerp,Flanders
2230,Herselt / Ramsel,4.8677089015677,51.04393995,Antwerp,Flanders
2235,Houtvenne / Hulshout / Westmeerbeek,4.808324254851033,51.06060251666667,Antwerp,Flanders
2240,Massenhoven / Viersel / Zandhoven,4.6485030227673,51.200361683333334,Antwerp,Flanders
2242,Pulderbos,4.7033852099385,51.2257319,Antwerp,Flanders
2243,Pulle,4.6975445276147,51.2011609,Antwerp,Flanders
2250,Olen,4.8597257,51.1438611,Antwerp,Flanders
2260,Oevel / Tongerlo / Westerlo / Zoerle-Parwijs,4.899095019546225,51.108653275,Antwerp,Flanders
2270,Herenthout,4.7543972,51.1392427,Antwerp,Flanders
2275,Gierle / Lille / Poederlee / Wechelderzande,4.8297327924367,51.2494823125,Antwerp,Flanders
2280,Grobbendonk,4.7318844301963,51.18870335,Antwerp,Flanders
2288,Bouwel,4.7370614385825,51.16210045,Antwerp,Flanders
2290,Vorselaar,4.769482,51.2023448,Antwerp,Flanders
